Timestamp start: 1684858772461
Timestamp end: 1684860575031

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      373.5  1092.8    93.8   145.2   166.5   276.7   328.3   357.7   377.6   400.4   432.2   490.5  2576.1 12397.1 37383.8   7399.3     7434
read      312.2   262.1    80.4   128.4   142.9   268.2   333.7   371.9   400.6   434.7   479.7   557.7  1412.0  2429.7  7412.2  66983.9    67201
read      297.3   335.3    80.4   127.9   142.2   263.0   326.9   365.4   393.9   427.5   468.9   530.8   702.0  3173.7 13488.9  85928.1    85927
read      292.7   200.6    80.4   128.0   141.9   266.7   330.4   366.3   392.5   423.2   461.3   516.1   683.3  2259.8  6710.4  63799.7    63953
read      288.6   277.2    80.4   127.8   142.1   257.6   319.7   356.3   382.0   410.8   444.4   492.8   694.2  3241.5  8105.1  31590.0    31595
read      294.0   285.7    80.4   127.4   141.6   261.9   325.1   363.8   392.7   427.0   469.0   529.3   683.0  2841.6 10517.1  87748.7    87879
read      315.4   671.8    93.8   142.7   163.2   260.6   302.2   325.9   343.3   364.0   390.0   432.8  1215.2  8868.4 31453.5   7301.6     7287
read      323.5   362.8    80.4   128.1   142.5   269.1   334.8   373.2   402.8   440.1   491.6   595.6  1416.2  3837.2 10231.0  61902.1    62295
read      338.0  1032.5    93.8   146.2   166.4   256.2   293.4   315.4   332.0   351.1   374.8   418.1  2514.7 11535.9 37751.7   6558.7     6561
read      407.2   811.8    80.4   129.1   144.5   295.4   407.2   508.6   578.6   641.1   714.5   806.1  1167.8 10364.7 32697.3  22572.0    22532
read      313.4   328.1    80.4   128.5   143.1   272.1   336.8   374.2   402.0   435.3   478.5   547.2  1220.8  4502.7  9140.4  60736.3    60653
read      300.1   259.1    74.4   128.0   142.3   271.8   337.1   373.3   400.1   431.8   470.4   529.3   707.1  2695.8  7740.5  58939.6    59076
read      293.3   242.3    80.4   127.3   141.1   266.6   329.9   366.0   392.4   422.8   460.3   513.1   658.7  2739.8  9045.9  60265.1    60154
read      384.5   815.6    80.4   127.0   141.5   280.3   370.2   428.7   490.3   569.1   648.5   748.6  1201.9 13958.3 31605.2  22946.9    22964
read      368.2  1036.8    86.8   139.3   159.8   270.4   321.5   349.3   368.3   390.2   418.2   467.9  2980.3 11385.3 36304.4   8203.0     8172
read      414.1   669.7    80.4   128.1   143.2   283.1   394.7   507.2   619.4   711.2   795.8   925.4  1269.8  8724.0 30276.4  27710.0    27652
read      315.8   547.5    80.4   127.1   141.7   259.0   320.8   360.4   389.7   423.9   465.9   541.5  1115.6  8502.3 27205.0  37593.6    37594
read      408.6   826.3    80.4   126.8   141.5   285.1   388.0   466.9   546.6   623.2   703.4   805.3  1569.6 10182.4 33082.7  24278.6    24367
read      328.3   498.0    80.4   127.1   141.7   258.9   326.2   369.9   401.9   439.5   494.8   757.5  1147.6  6146.8 28309.7  33601.3    33771
read      297.7   314.4    80.4   128.0   142.5   265.0   330.9   369.8   398.3   431.9   473.2   535.7   688.6  3002.6 13380.5  84793.0    84944
read      297.6   292.7    80.4   128.0   142.1   263.7   329.0   368.7   397.7   431.6   473.7   536.1   713.4  3041.4 11525.1  85685.6    85666
read      295.7   269.9    80.4   127.9   142.1   269.3   330.7   365.8   391.6   422.0   460.2   514.0   690.3  2903.8  6734.5  52019.1    51918
read      286.1   271.4    80.4   127.4   141.4   256.1   315.9   351.2   376.8   406.3   440.3   488.8   640.3  3402.4  9043.0  34465.0    34406
read      407.2   792.3    80.4   126.5   141.5   274.1   374.5   450.1   548.1   662.0   763.5   893.6  1288.9 10046.5 32503.5  28731.1    28664
read      317.7   452.0    80.4   127.4   142.0   262.7   325.8   365.8   396.1   431.7   480.4   608.1  1117.1  4901.5 26717.3  38135.6    38289
read      393.4   940.6    80.4   126.8   141.3   287.1   375.3   435.3   495.5   559.3   625.2   720.0  1753.9 12302.9 33349.9  20727.7    20658
read      381.4   912.3    86.8   127.9   143.7   292.3   369.9   417.5   449.6   484.2   525.6   587.7  2364.4 10737.0 34568.4  13878.3    13840
read      322.3   376.4    80.4   128.5   143.6   267.0   332.8   374.6   407.5   447.0   496.1   575.1  1583.1  3252.6 13356.9  93216.9    93419
read      294.1   244.4    80.4   127.8   142.3   260.8   322.2   362.1   392.9   429.6   475.1   539.4   684.8  2839.6  7102.4  98089.9    98284
read      299.0   272.7    80.4   128.3   142.6   269.6   335.3   373.0   400.2   431.7   470.9   529.9   688.1  2905.7  9421.4  71502.3    71313
read      285.7   204.5    80.4   126.5   140.8   261.5   318.1   352.3   378.0   408.8   446.0   497.4   650.2  2105.6  6378.7  42017.6    42089
read      287.7   191.1    80.4   126.4   140.6   264.8   322.3   357.1   382.5   412.8   450.6   501.5   653.4  2226.2  5911.1  46449.3    46458
read      289.7   312.0    80.4   129.2   143.6   257.7   320.4   357.8   383.6   412.0   445.3   493.8   672.8  3986.3  9666.3  30778.6    30755
read      293.7   341.1    80.4   129.4   144.2   264.0   321.9   357.5   384.0   414.9   452.5   504.1   690.9  2694.1 13940.5  42892.6    42889
read      293.5   215.0    80.4   129.2   143.8   261.8   323.7   362.6   392.5   428.3   472.7   537.9   692.0  2489.0  5865.3  93517.0    93552
read      299.1   275.1    80.4   128.0   142.3   269.7   335.0   372.1   398.8   430.2   468.0   523.5   679.7  3410.4  9781.9  65697.9    65694
read      283.7   236.7    80.4   128.3   142.2   254.1   317.4   354.4   379.9   408.2   441.1   489.1   700.9  2106.6  8772.8  29491.0    29574
read      298.0   251.2    80.4   127.9   142.1   270.1   330.0   365.4   391.8   423.0   461.7   519.6   700.7  3646.4  5863.7  51458.6    51355
