


//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      423.1   424.6   148.8   198.1   214.1   381.9   464.6   509.4   542.5   585.1   640.7   727.9   950.2  4579.4 15865.1  60082.7    60000
read      419.6   372.1   148.8   200.8   217.6   379.0   466.8   513.3   546.2   587.2   640.4   725.8   913.1  4187.6 12886.9  64846.2    65000
read      411.6   342.3   148.8   198.6   214.5   367.0   452.0   498.8   533.5   576.4   632.2   721.9   919.1  4617.0  9724.0  69931.0    70000
read      433.9   409.2   148.8   202.0   220.5   387.0   472.4   520.7   554.7   597.4   655.3   746.6   997.0  5068.8 12632.5  74961.8    75000
read      408.6   370.3   148.8   199.1   215.8   362.8   441.1   486.6   520.4   562.7   620.5   708.4   906.9  5082.4 12392.3  80037.2    80000
read      405.5   335.9   160.7   203.5   220.3   365.0   439.9   484.5   517.2   557.3   613.6   700.2   907.2  4085.3 12576.5  84880.2    85000
read      544.8   388.2   148.8   225.8   262.4   488.9   580.7   635.1   688.1   780.3   908.5  1067.9  1264.9  4678.9 10195.5  90117.8    90000
read      416.3   344.8   148.8   206.8   226.3   373.0   444.3   488.6   523.6   569.4   632.0   728.7   931.9  4192.2 10380.6  95066.8    95000
read      462.8   294.3   148.8   231.8   262.4   419.3   498.8   551.2   593.0   640.2   701.2   793.3   958.5  3755.0 11444.0  99814.2   100000
read      666.9   375.8   160.7   405.5   433.3   554.4   769.0   875.1   918.8   962.3  1005.6  1067.6  1175.4  3442.5 15231.1  97313.4   105000
read      690.3   572.0   148.8   389.1   421.4   580.2   737.1   842.5   903.5   972.3  1046.9  1126.7  1279.2  6741.4 25289.8  94765.8   110000










