


//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      407.3   317.0   148.8   196.8   213.4   379.7   458.8   503.1   536.8   579.2   634.5   716.4   864.5  1357.8  9346.7  60087.2    60000
read      400.0   209.5   148.8   195.1   211.2   371.9   452.1   496.7   530.6   572.9   629.5   712.7   868.3  1179.4  7944.0  65120.2    65000
read      396.0   260.7   148.8   195.5   211.4   359.9   437.8   484.3   519.3   562.1   620.7   708.6   870.0  2233.0 10353.9  69784.8    70000
read      410.2   248.7   148.8   201.3   219.0   379.2   461.1   506.2   538.4   578.2   630.8   714.3   893.5  1419.4  9959.9  75123.0    75000
read      417.9   239.8   148.8   203.4   222.3   382.6   462.1   509.0   546.7   592.5   654.8   747.6   927.6  1289.1  9606.3  79920.0    80000
read      548.6   455.5   148.8   230.3   265.9   471.5   575.0   640.2   693.2   762.3   860.2  1029.7  1908.6  4820.6 15319.7  85040.8    85000
read      529.1   380.3   148.8   243.7   278.6   473.3   567.7   628.0   676.1   738.8   830.7   968.3  1264.4  4015.5 12502.3  89780.6    90000
read      613.0   370.4   160.7   296.1   347.0   547.9   645.9   732.7   807.5   893.1   978.3  1075.7  1264.8  3432.1 15294.5  93906.9    95000
read      539.9   303.4   148.8   278.4   316.6   497.4   590.7   644.9   685.4   733.9   798.7   901.6  1117.8  3145.6 10668.2  99899.9   100000
read      630.9   355.2   148.8   362.2   392.0   560.4   711.2   787.4   833.3   880.8   941.0  1039.1  1178.1  2289.4 16105.5 101366.4   105000
read      608.0   316.5   160.7   351.8   381.6   538.5   693.0   763.8   806.6   851.6   904.4   980.9  1121.4  3481.9 12452.9 104709.0   110000
