


//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      388.5   212.3   148.8   195.2   210.3   359.0   434.6   476.9   508.9   549.2   609.0   692.1   822.2  1148.4  7975.1  65073.2    65000
read      396.4   255.5   160.7   197.2   213.1   363.1   442.7   487.2   520.3   561.9   618.4   699.6   855.4  1904.3 11335.6  70076.4    70000
read      415.0   319.1   148.8   203.2   221.4   381.2   464.3   508.3   541.4   582.3   635.4   717.1   900.5  1814.7 14030.7  75122.0    75000
read      392.5   235.8   148.8   198.8   215.8   358.5   436.4   481.6   513.0   552.0   608.3   689.0   846.1  1275.1  8773.4  80208.0    80000
read      417.8   248.5   160.7   211.1   231.6   385.8   465.1   508.9   541.6   581.5   633.9   716.1   898.7  1357.9 10081.5  84968.6    85000
read      413.0   243.4   148.8   215.2   236.6   384.6   461.0   501.7   532.1   568.1   614.2   682.5   871.0  1166.5 10589.6  90151.4    90000
read      438.1   247.7   160.7   216.0   238.8   401.2   477.5   522.5   557.8   604.3   674.0   797.2  1022.7  1376.2  9839.6  94885.4    95000
read      405.3   211.0   148.8   213.2   234.0   372.4   442.9   485.0   516.5   555.1   609.2   692.7   903.3  1247.2  8052.5  99761.6   100000
read      416.8   239.7   148.8   227.5   253.0   387.8   454.9   495.3   526.1   563.2   610.5   679.5   818.6  1154.5 10155.3 104890.2   105000
read      650.5   345.3   148.8   385.6   413.7   545.9   779.0   849.7   887.7   924.8   968.1  1017.7  1125.3  2351.9 13753.3  99894.6   110000










