


//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      422.7   440.6   148.8   196.5   212.1   371.6   457.3   505.5   542.1   589.8   655.3   749.8   949.8  5469.4 13432.1  60003.0    60000
read      425.7   435.9   148.8   199.3   215.9   378.7   466.1   512.9   547.3   591.3   652.4   745.1   943.1  4743.2 18852.7  64888.2    65000
read      453.1   453.1   148.8   202.0   221.6   406.7   497.1   544.5   580.2   623.9   683.9   786.5  1107.6  5712.5 18943.4  70145.8    70000
read      437.4   500.4   148.8   199.7   217.4   383.8   469.6   517.4   551.8   596.0   658.9   761.3  1055.8  5976.9 22809.3  74955.8    75000
read      425.2   425.9   148.8   200.9   218.7   376.4   458.7   505.2   540.8   585.0   645.2   751.1  1012.6  5221.9 16055.5  80057.0    80000
read      416.7   423.5   148.8   201.5   219.2   371.9   450.3   494.3   527.5   569.8   628.8   723.4   931.0  5135.0 16109.2  84672.6    85000
read      429.3   376.6   148.8   209.3   230.0   389.8   464.5   508.1   542.6   586.1   644.8   743.0   965.6  4254.4 12307.8  89981.8    90000
read      445.0   321.1   160.7   209.9   232.2   399.6   477.8   526.0   565.4   620.3   702.1   840.9  1051.5  3820.0 12295.6  94855.8    95000
read      665.6   441.1   160.7   386.0   415.9   553.4   764.3   852.4   895.8   936.4   986.3  1055.3  1211.8  6770.7 14116.3  95902.2   100000
read      688.7   467.1   148.8   410.0   438.9   563.2   801.5   895.1   937.1   976.3  1014.9  1076.5  1220.0  6591.1 16929.0  94889.0   105000
read      693.2   530.4   160.7   414.1   441.4   561.3   805.5   898.8   940.8   980.4  1020.3  1085.1  1244.3  7078.2 25121.6  94562.0   110000







