

//-----------------------------------------1st run----------------------------------------//

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      405.3   237.9   148.8   196.6   212.6   373.8   453.5   499.2   535.3   580.8   639.3   725.3   885.1  1556.7  9717.2  60233.2    60000
read      409.3   282.5   148.8   199.1   216.1   376.3   458.7   504.0   538.9   582.3   637.9   723.4   882.0  2480.9 10397.9  64939.8    65000
read      404.1   246.6   148.8   199.1   215.8   371.4   453.2   500.0   535.2   578.4   635.7   720.0   872.5  1237.5  8225.3  69883.0    70000
read      428.6   335.1   148.8   207.4   225.6   386.0   469.2   521.0   561.1   612.2   680.0   781.7   973.2  1727.3 14089.5  74993.4    75000
read      414.1   257.4   148.8   205.7   224.4   379.4   458.1   503.2   538.5   583.4   641.9   735.1   916.2  1599.3 11204.6  79923.3    80000
read      394.0   223.8   148.8   202.4   219.7   360.1   432.2   475.7   509.4   551.9   613.0   700.8   860.1  1259.7  8081.8  84854.3    85000
read      599.8   326.6   160.7   294.4   345.3   539.2   638.5   727.6   796.5   871.9   953.2  1046.1  1176.6  2281.7 12183.2  89909.4    90000
read      716.2   362.8   160.7   455.5   482.8   593.8   713.3   958.1  1016.0  1058.1  1099.5  1161.7  1266.7  2305.3 14302.2  90202.8    95000
read      603.8   343.6   148.8   270.6   322.7   539.9   612.0   687.4   816.4   941.6  1027.0  1099.5  1219.4  2373.2 13982.4  95282.4   100000
read      640.5   325.1   148.8   321.2   389.6   551.3   630.6   806.1   923.4   985.7  1039.4  1092.1  1186.7  2406.1 12030.9  96696.4   105000
read      721.5   365.6   160.7   442.8   476.1   605.6   777.9   948.7  1012.0  1058.9  1104.8  1164.6  1268.5  3080.1 14627.0  90560.2   110000













