Timestamp start: 1684600372478
Timestamp end: 1684602172894

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      362.5   390.2    86.8   144.9   164.7   316.9   394.1   439.1   473.6   518.2   579.7   682.5   949.0  4122.7 13507.9  98955.1    99068
read      371.5   318.4    86.8   140.7   157.8   326.8   411.6   460.1   497.5   544.8   611.1   718.1  1193.6  3370.9 10732.1  51306.9    51267
read      450.7   777.5    86.8   146.1   169.0   372.8   467.7   530.1   575.2   626.0   684.8   782.6  1496.7  8113.7 32054.0  11732.3    11822
read      390.1   429.4    80.4   146.2   166.9   325.0   404.8   454.0   492.6   543.3   618.0   756.7  1699.7  4258.4 13849.8  97441.2    97494
read      352.3   373.8    80.4   141.8   160.6   306.3   383.0   427.8   461.9   504.7   566.1   668.0   941.7  3815.3 12557.3  97244.0    97350
read      360.7   365.9    86.8   138.7   155.1   316.8   399.0   446.3   482.1   527.3   587.3   684.3  1012.6  3940.1 12766.3  55594.3    55460
read      355.6   355.5    86.8   140.1   157.8   307.7   387.4   433.4   468.2   511.3   574.2   678.8   985.3  3928.4 14035.7  85905.1    85984
read      355.8   398.5    80.4   138.7   155.8   305.2   385.0   431.2   466.6   510.9   575.9   681.3  1044.4  4078.7 15070.0  81892.8    82043
read      357.0   312.3    86.8   138.1   154.4   314.2   396.8   443.5   478.9   523.7   584.6   685.6  1084.1  2967.0  8450.0  52749.0    52873
read      459.5   830.3    86.8   140.4   160.1   371.1   474.3   541.1   588.2   640.5   701.1   806.7  2031.5  9264.2 32115.2  13904.6    13911
read      394.1   555.3    86.8   138.5   155.4   323.4   411.8   463.5   503.3   555.3   630.0   777.9  1625.0  6243.9 30175.1  50151.6    49984
read      437.4   898.4    93.8   151.8   179.2   353.2   432.4   481.5   517.3   559.7   614.8   707.0  1924.0 11428.0 32154.4   9219.2     9274
read      494.5   712.4    86.8   136.3   154.8   345.2   509.1   657.3   758.0   850.5   948.5  1087.5  1732.1  8174.9 31540.9  27203.7    27187
read      492.3   806.9    86.8   138.7   157.2   379.2   519.6   624.4   687.0   750.1   821.8   932.4  2112.8 10034.3 31693.1  18694.4    18735
read      376.6   463.9    80.4   142.5   161.4   311.9   392.1   439.9   476.9   525.0   592.6   723.2  1650.1  4311.0 13832.7  86507.4    86505
read      347.2   314.7    80.4   139.9   158.0   302.8   379.1   424.6   459.1   502.1   562.4   663.0   937.4  3626.2  8746.4  93078.3    93039
read      348.0   294.1    80.4   138.3   155.0   303.7   383.1   429.1   464.1   507.5   569.8   672.4   991.1  3176.9  8138.0  76114.6    75999
read      366.6   396.2    86.8   138.6   155.4   327.7   407.6   455.4   490.4   532.9   588.1   677.2  1014.6  3757.0 12832.8  32297.8    32324
