Timestamp start: 1684602453465
Timestamp end: 1684604253873

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      467.7  1122.9    93.8   160.8   193.1   360.2   438.1   484.9   519.9   564.9   626.2   728.3  2725.2 17023.8 36037.6   7405.2     7434
read      372.9   411.6    86.8   137.7   153.7   302.8   390.3   443.2   484.5   537.8   615.2   767.6  1635.5  3854.5 12615.8  67154.1    67201
read      344.1   384.3    80.4   136.7   152.8   291.2   368.6   415.7   452.0   496.7   559.1   667.0  1006.8  4043.5 14294.9  85971.0    85927
read      360.0   314.0    80.4   140.3   156.9   310.9   395.1   444.4   483.0   532.4   596.0   707.2  1070.6  3316.9  8791.5  63975.2    63953
read      370.1   366.0    80.4   140.6   157.5   327.2   410.4   459.5   495.6   540.6   596.9   695.4  1058.2  3976.3 12633.7  31486.7    31595
read      339.9   351.8    80.4   136.8   153.0   290.1   367.2   413.4   448.4   491.7   551.2   656.0   963.2  3822.1 11972.0  87810.4    87879
read      418.7  1017.2    93.8   159.9   189.7   321.5   384.1   422.7   451.3   486.3   534.6   619.9  2081.0 13519.5 36145.9   7274.2     7287
read      364.6   392.5    80.4   137.4   153.4   305.9   391.3   442.3   481.4   531.7   598.9   722.6  1377.6  3930.2 13498.4  62106.2    62295
read      406.4   964.4    93.8   163.0   192.4   313.2   370.8   404.9   431.7   463.4   507.4   595.2  2724.0 11063.8 32366.6   6504.6     6561
read      501.0   873.5    80.4   136.4   154.6   359.0   523.5   649.1   724.4   801.5   890.3  1025.4  2014.8  8848.9 35574.0  22450.2    22532
read      372.7   467.9    86.8   136.8   153.0   306.7   392.2   442.4   481.8   533.2   603.4   739.0  1548.4  5321.0 17319.4  60685.0    60653
read      355.4   373.3    80.4   137.0   153.1   306.0   388.1   435.7   472.2   518.9   581.3   686.3  1075.6  3765.1 12914.7  59053.8    59076
read      359.6   362.1    80.4   138.6   155.0   312.0   394.8   444.4   482.1   529.9   591.3   693.4  1032.8  3454.1 12657.7  60204.6    60154
read      461.3   798.7    86.8   135.0   152.3   338.4   471.5   579.7   660.0   739.4   824.8   939.7  1489.7  9240.3 32131.7  23028.4    22964
read      451.6  1210.1    93.8   153.8   183.2   338.1   409.4   451.5   481.5   517.0   566.9   654.3  3172.3 16084.2 43945.3   8185.2     8172
read      377.8   413.0    86.8   139.2   156.0   323.2   407.9   457.4   493.5   539.2   606.3   770.0  1183.0  4391.8 12866.1  27623.1    27652
read      363.4   326.5    86.8   138.8   154.8   323.1   407.1   456.0   492.4   537.6   593.2   688.3  1020.4  3465.4 11371.6  37600.4    37594
read      463.6   837.3    86.8   136.5   154.2   338.4   461.2   552.0   635.4   728.2   827.4   962.5  1680.5  9277.7 32045.1  24352.5    24367
read      365.6   402.2    86.8   136.6   152.9   315.1   398.0   446.8   483.2   528.9   589.6   705.5  1156.3  4468.5 12702.5  33784.0    33771
read      340.4   325.9    80.4   137.3   153.5   293.9   371.0   417.2   452.9   497.1   558.7   660.0   931.8  3423.1  9756.7  84721.5    84944
read      338.7   322.8    86.8   137.0   153.1   292.6   369.6   415.4   450.3   493.8   553.8   655.9   934.1  3623.2 10172.9  85581.6    85666
read      360.1   311.8    86.8   138.6   155.0   315.5   399.1   447.8   484.7   531.3   591.0   693.3  1039.8  3495.8  9193.4  51987.0    51918
read      358.9   325.9    86.8   137.4   153.4   317.6   399.9   448.5   484.1   527.3   582.9   678.1  1047.1  3304.1 10681.4  34375.4    34406
read      364.2   387.6    80.4   138.7   155.1   322.5   402.9   450.0   484.1   525.3   578.8   670.3  1047.2  4081.9 12453.3  28767.5    28664
read      359.8   368.2    80.4   137.6   153.5   316.3   397.5   444.8   480.7   525.3   583.3   681.2  1090.3  3959.0 11865.3  38270.2    38289
read      450.7   686.4    86.8   136.2   154.0   348.2   477.7   575.7   649.4   720.4   797.8   902.6  1358.5  8134.3 31377.3  20664.9    20658
read      457.0   872.2    86.8   140.0   159.5   360.8   472.9   541.0   584.8   634.4   690.7   784.9  2292.1  9657.7 32007.0  13870.3    13840
read      362.4   544.8    86.8   140.9   158.6   298.8   374.4   421.7   457.9   503.0   566.5   673.9  1240.3  7041.2 28140.9  93469.6    93419
read      337.8   308.3    80.4   141.2   158.6   293.9   367.4   411.3   445.4   488.2   546.3   642.9   896.2  3476.3 10960.7  98291.6    98284
read      349.9   347.3    80.4   138.1   154.0   301.8   382.3   429.4   465.0   509.6   573.7   680.4  1020.7  3266.7 11015.4  71184.8    71313
read      364.5   370.4    86.8   137.8   154.1   319.2   402.4   452.0   488.7   534.2   592.4   691.6  1104.8  3738.1 13909.9  42075.8    42089
