Timestamp start: 1684583023081
Timestamp end: 1684584823499

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      421.5   939.3    93.8   162.3   190.7   326.5   391.4   427.9   455.7   488.9   533.1   610.5  3173.8  9919.3 32352.3   7427.2     7434
read      356.1   324.2    86.8   139.6   156.5   300.1   379.8   427.7   463.7   508.2   570.5   684.3  1525.2  2964.4  9129.5  67212.4    67201
read      338.7   315.4    80.4   139.0   156.0   294.4   368.5   412.4   446.2   487.3   541.2   631.5   923.5  3711.8  9802.9  85928.0    85927
read      344.2   320.6    86.8   139.5   156.2   300.1   376.9   422.3   456.6   498.1   550.5   638.1   969.0  3545.0  9836.1  64076.1    63953
read      336.6   307.9    86.8   139.4   155.8   299.2   375.1   419.4   451.4   488.0   533.5   604.2   872.3  3447.2 10206.9  31607.3    31595
read      333.6   387.8    80.4   138.6   155.5   289.9   362.4   405.3   438.3   478.8   531.9   616.9   861.3  4196.8 11792.5  87940.2    87879
read      410.6  1144.8    86.8   161.5   187.7   306.4   362.1   393.5   417.0   444.9   482.6   552.7  2717.1 18856.0 37668.4   7334.6     7287
read      349.4   338.2    80.4   140.3   157.2   300.8   378.7   424.1   458.1   499.0   551.8   647.4  1309.8  3262.6 10513.6  62280.5    62295
read      393.4   995.9    93.8   163.9   189.9   297.4   349.7   378.9   399.8   426.1   462.2   532.2  2526.3 11436.7 37362.3   6612.8     6561
read      459.0   968.5    86.8   136.5   154.5   335.7   464.9   553.0   615.0   680.9   767.4   887.3  1575.0 11088.8 37554.2  22447.4    22532
read      349.4   354.4    86.8   139.2   155.8   298.2   375.3   419.8   453.3   494.3   548.8   645.4  1436.8  3574.6 13633.7  60747.3    60653
read      347.9   284.8    86.8   140.8   158.1   308.6   386.7   430.9   464.0   503.9   557.0   640.0   952.2  3304.8  9120.1  59088.3    59076
read      344.0   336.7    86.8   139.8   156.8   302.8   379.1   422.6   455.0   494.3   545.5   627.6   928.2  3857.0 10077.1  60042.3    60154
read      430.1   770.9    86.8   137.3   155.0   319.2   433.6   511.4   574.6   647.4   739.0   863.9  1438.2  9444.4 31897.3  22944.4    22964
read      413.5  1164.6    86.8   154.8   181.3   311.0   373.2   407.1   431.7   460.1   496.4   556.7  2542.4 21371.2 41339.8   8212.7     8172
read      346.5   394.1    86.8   139.0   155.6   295.7   372.1   417.0   449.8   487.8   537.8   635.5  1151.5  4509.7 12851.1  27608.4    27652
read      341.8   391.7    86.8   138.7   154.8   300.0   374.6   418.6   451.5   490.6   540.1   617.6   944.5  3896.4 13828.2  37584.9    37594
read      435.4   774.8    86.8   136.4   153.9   319.1   440.6   524.2   594.4   675.0   771.4   902.0  1373.3  9855.8 32394.7  24290.5    24367
read      347.3   470.2    86.8   136.0   151.8   288.6   366.9   414.1   448.9   490.5   545.0   661.5  1118.6  6344.9 17969.7  33717.0    33771
read      343.8   315.6    80.4   141.0   158.8   301.2   375.6   420.6   454.9   496.6   551.0   640.0   898.3  3562.4 10081.9  85009.9    84944
read      336.1   368.4    80.4   138.8   155.8   293.7   366.7   410.1   443.0   483.7   537.5   624.8   872.9  3586.2 15020.1  85886.2    85666
read      340.6   280.7    86.8   139.5   156.1   303.1   378.7   422.2   454.9   494.4   545.5   628.2   928.8  3044.2  9623.3  52095.4    51918
read      330.4   318.2    86.8   138.0   154.0   292.2   365.7   409.3   442.0   479.7   526.8   597.2   874.6  3061.3 10172.9  34426.5    34406
read      322.1   267.2    86.8   137.9   153.9   286.7   360.7   402.9   432.9   466.4   507.8   574.0   819.5  2835.2 10126.1  28671.4    28664
read      341.4   374.2    86.8   139.0   155.2   300.8   374.3   418.7   451.9   491.2   539.6   616.0   940.7  4052.6 13048.6  38357.5    38289
read      415.4   709.9    86.8   135.9   153.5   324.4   434.2   507.9   560.4   617.0   684.6   793.5  1382.3  7961.3 32065.2  20763.1    20658
read      421.9   958.2    86.8   139.7   159.5   330.4   419.4   469.4   502.3   538.7   583.8   661.4  2432.9 11290.5 37368.9  13845.4    13840
read      385.7   505.3    86.8   143.4   163.1   308.5   386.5   434.5   471.0   516.7   581.9   726.8  1763.6  5929.7 16263.0  93276.0    93419
read      339.9   304.6    80.4   141.7   160.5   300.7   372.8   416.3   449.6   490.3   543.7   631.9   861.8  3378.3  9720.2  98448.8    98284
read      339.3   332.3    86.8   139.1   155.9   297.0   372.1   416.3   449.3   489.3   542.0   627.2   924.6  3585.5 10603.8  71163.1    71313
read      335.3   271.9    86.8   138.1   154.2   298.0   373.0   417.3   450.3   488.9   537.9   617.4   912.7  2823.7 10146.4  41964.5    42089
read      339.3   327.6    86.8   139.1   155.9   300.8   375.2   418.7   451.7   490.7   540.5   618.4   917.4  3317.2 13305.0  46479.7    46458
read      333.5   292.2    80.4   139.1   155.4   296.8   371.9   415.4   447.1   483.5   528.5   595.3   867.2  3096.4 10030.7  30851.6    30755
