100.96.4.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      199.9   235.6    74.4   113.4   122.4   172.2   201.2   220.8   235.5   256.0   282.5   317.2   407.3  4131.3  8209.4  30029.5    30000  1684934295864  1684934305994
read      202.8   317.5    74.4   110.6   119.3   172.3   203.1   223.8   239.4   259.8   285.0   318.6   407.3  4377.6 13956.2  29987.0    30005  1684934307503  1684934317627
read      202.7   281.7    74.4   112.7   121.6   174.3   204.8   224.3   238.7   257.9   282.9   316.7   399.5  4342.2  9974.1  29938.2    30010  1684934319133  1684934329251
read      193.7   185.4    74.4   111.3   120.4   173.5   202.7   222.0   236.0   254.7   279.0   313.1   387.1  2024.0  8138.7  30019.2    30015  1684934330760  1684934340867
read      192.8   177.1    74.4   113.0   122.1   174.0   203.4   222.2   235.5   253.2   276.2   309.6   381.4  1325.7  8789.4  30013.8    30020  1684934342374  1684934352482
read      193.6   149.6    74.4   111.7   121.1   175.5   205.9   225.3   240.0   258.7   282.1   314.1   380.1  1250.3  7545.4  29954.2    30025  1684934353988  1684934364092
read      192.7   195.3    74.4   111.9   120.8   172.4   200.7   219.3   233.7   252.4   275.5   307.8   377.3  2316.8  8388.5  29936.3    30030  1684934365602  1684934375710
read      193.7   149.2    74.4   112.5   121.9   175.5   205.6   224.8   239.0   257.3   280.4   312.3   375.3  1376.8  7447.5  30113.0    30035  1684934377216  1684934387320
read      189.6   173.4    74.4   111.1   119.8   171.1   199.6   217.9   232.5   251.3   274.4   305.3   369.3  1278.3  8227.6  30048.9    30040  1684934388834  1684934398939
read      196.2   163.9    68.9   112.2   121.8   177.9   208.8   228.3   243.3   262.1   284.9   315.0   380.1  1568.2  7645.5  30006.2    30045  1684934400445  1684934410555
read      193.8   198.2    74.4   111.4   120.6   173.8   203.6   223.2   237.7   256.5   278.9   308.6   373.3  2003.4  8520.5  30143.3    30050  1684934412061  1684934422164
read      191.8   155.6    68.9   112.3   121.9   174.5   201.8   220.2   234.6   253.3   276.0   306.2   367.6  1387.1  7625.5  30076.5    30055  1684934423673  1684934433776
read      192.8   148.1    74.4   113.1   122.4   175.5   204.9   223.8   237.8   255.7   278.0   308.0   368.6  1407.9  7419.0  30049.9    30060  1684934435284  1684934445395
read      191.1   165.7    74.4   112.7   121.8   173.6   201.5   219.6   233.5   251.4   273.2   302.0   362.9  1362.7  7615.2  30118.4    30065  1684934446902  1684934457006
read      192.7   189.2    74.4   112.0   121.2   173.8   202.5   221.5   235.5   253.7   275.3   304.5   370.9  1881.8  9045.8  30183.5    30070  1684934458511  1684934468611
