Timestamp start: 1684915284580
Timestamp end: 1684917085022

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      372.3  1038.7    86.8   148.3   171.4   279.1   332.6   362.3   383.1   407.0   438.2   494.8  2441.9 10121.4 36254.7   7424.0     7434
read      312.8   334.8    74.4   123.1   138.7   270.1   339.5   379.6   410.2   446.7   492.4   562.2  1332.1  2941.0 14021.5  67219.3    67201
read      309.0   279.3    74.4   126.6   142.2   272.6   342.5   385.2   417.7   455.8   503.1   575.3   760.6  2573.4 10735.7  85873.7    85927
read      294.6   217.1    80.4   122.9   138.0   266.7   331.3   368.4   397.1   430.8   470.1   527.1   661.7  2675.5  7380.3  64054.4    63953
read      298.3   343.2    74.4   123.7   139.0   259.9   330.6   373.0   405.0   437.8   472.8   527.4   747.3  2824.0 12524.7  31751.9    31595
read      294.2   214.0    74.4   122.5   137.6   263.6   331.1   371.3   401.8   437.0   480.5   542.8   682.2  2328.5  5689.2  87904.1    87879
read      339.8   842.5    86.8   146.5   167.5   257.5   300.8   325.7   344.2   366.8   398.2   449.5  2547.7 10086.6 31948.3   7296.6     7287
read      312.6   299.6    74.4   123.5   139.0   270.9   339.1   378.7   409.7   446.8   494.3   569.5  1318.3  2220.8  9666.0  62212.7    62295
read      358.0  1272.2    93.8   151.0   170.2   255.3   298.0   322.7   341.1   362.6   391.8   438.0  2222.3 18214.3 47335.4   6629.0     6561
read      400.3   739.5    80.4   125.5   142.5   292.8   404.2   496.4   562.7   629.2   699.2   783.8  1172.4  8553.2 31496.2  22573.9    22532
read      315.9   360.4    80.4   122.5   137.8   266.9   333.7   373.7   405.2   444.0   492.9   575.7  1351.2  3572.6  9797.9  60545.0    60653
read      295.8   192.8    80.4   122.5   137.9   269.4   335.3   373.2   402.4   437.1   479.0   537.7   682.9  1799.3  5477.6  59021.0    59076
read      301.1   306.7    80.4   124.7   140.0   268.3   333.1   370.5   398.7   432.5   475.4   536.7   731.2  3088.5 10089.0  60258.7    60154
read      377.2   630.6    80.4   125.7   142.2   289.0   385.5   450.0   512.0   583.1   667.6   761.3  1067.6  6916.8 31082.7  22821.7    22964
read      367.1   970.5    86.8   147.5   168.2   273.8   329.4   360.1   382.0   407.5   438.9   494.4  2707.3 10677.7 32095.6   8132.7     8172
read      408.8   616.0    80.4   124.9   142.3   287.8   415.0   527.0   621.2   705.3   780.0   874.9  1199.4  7162.3 30228.7  27695.3    27652
read      313.9   371.0    74.4   121.6   136.7   256.7   324.8   372.1   408.3   449.2   496.5   615.0  1097.0  4419.6 12179.0  37586.1    37594
read      383.7   676.6    80.4   121.4   136.9   271.7   374.4   446.1   520.3   613.0   701.1   804.3  1358.1  9619.6 29736.6  24362.0    24367
read      335.9   445.2    80.4   120.0   134.9   261.5   335.0   384.9   423.6   467.3   545.8   835.2  1163.7  5720.7 12846.2  33792.1    33771
